type;title;author;publication date;publisher;translator;in collection
ethics;Euthyphro;Plato;2005;Barnes & Noble Books;Benjamin Jowett;Essential Dialogues of Plato
ethics;Nicomachean Ethics;Aristotle;2014;Princeton University Press;Johnathon Barnes and Anthony Kenny;Aristotle’s Ethics
ethics;Utilitarianism;John Stuart Mill;1863;?;;
metaphysics;The Metaphysics;Aristotle;;;;
metaphysics;An Enquiry Concerning Human Understanding;David Hume;;;;
metaphysics;Monadology;Gottfried Wilhelm Leibniz;;;;
aesthetics;The symposium;Plato;;;;
aesthetics;The Poetics;Aristotle;;;;
aesthetics;The Critique of Judgement;Kant;;;;
epistemology;Theaetetus ;Plato;;;;
epistemology;The Critique of Pure Reason;Kant;;;;
epistemology;Meditations on First Philosophy;Decartes;;;;
political philosophy;The Republic;Plato;;;;
political philosophy;The Politics;Aristotle;;;;
political philosophy;The Second Treatise of Government;Locke;;;;
philosophy of science;The Structure of Scientific Revolutions;Thomas Kuhn;;;;
philosophy of science;Conjectures and Refutations;Karl Popper;;;;
philosophy of science;Against Method;Paul Feyerabend;;;;
philosophy of mathematics;Proof and Refutations;Imre Lakatos;;;;
philosophy of mathematics;Introduction to Mathematics Philosophy;Bertrand Russell;;;;
philosophy of mathematics;Mathematics and Reality;Mary Leng;;;;
philosophy of language;Tractatus logico-philosophicus ;Ludwig Wittgenstein ;;;;
philosophy of language;Naming and Necessity;Saul Kripke;;;;
philosophy of language;Syntatic Structures;Noam Chomsky;;;;
existentialism;Being and Nothingness;Jean-Paul Sartre;;;;
existentialism;The Ethics of Ambiguity;Simon de Beauvoir;;;;
existentialism;The Myth of Sisyphys;Albert Camus;;;;
